Player Name,Fantasy Team,POS,TEAM,SLOT,PROJ,FPTS,Week,Year
Diontae Johnson,Team Graver,WR,,WR,,14.6,1,2021
Darren Waller,Team Graver,TE,,TE,,26.5,1,2021
Robby Anderson,Team Graver,WR,,FLEX,,12.7,1,2021
Ravens,Team Graver,D/ST,,D/ST,,-1,1,2021
Matt Prater,Team Graver,K,,K,,7,1,2021
Josh Allen,Team Dupre,QB,,QB,,16.66,2,2021
Nick Chubb,Team Dupre,RB,,RB,,16.8,2,2021
Chase Edmonds,Team Dupre,RB,,RB,,12.5,2,2021
Calvin Ridley,Team Dupre,WR,,WR,,19.3,2,2021
Terry McLaurin,Team Dupre,WR,,WR,,27.7,2,2021
Kyle Pitts,Team Dupre,TE,,TE,,12.3,2,2021
Tee Higgins,Team Dupre,WR,,FLEX,,16,2,2021
Bills,Team Dupre,D/ST,,D/ST,,19,2,2021
Younghoe Koo,Team Dupre,K,,K,,5,2,2021
Tom Brady,Team Chasse,QB,,QB,,29.64,2,2021
Derrick Henry,Team Chasse,RB,,RB,,47.7,2,2021
Najee Harris,Team Chasse,RB,,RB,,19.1,2,2021
A.J. Brown,Team Chasse,WR,,WR,,7.3,2,2021
Amari Cooper,Team Chasse,WR,,WR,,5.4,2,2021
Noah Fant,Team Chasse,TE,,TE,,13.3,2,2021
Chris Godwin,Team Chasse,WR,,FLEX,,16.2,2,2021
Buccaneers,Team Chasse,D/ST,,D/ST,,19,2,2021
Graham Gano,Team Chasse,K,,K,,22,2,2021
Kyler Murray,Team Perrotti,QB,,QB,,33.1,2,2021
Miles Sanders,Team Perrotti,RB,,RB,,6.9,2,2021
Dalvin Cook,Team Perrotti,RB,,RB,,16.8,2,2021
Allen Robinson II,Team Perrotti,WR,,WR,,10.4,2,2021
Julio Joes,Team Perrotti,WR,,WR,,18.8,2,2021
Logan Thomas,Team Perrotti,TE,,TE,,9.5,2,2021
Devonta Smith,Team Perrotti,WR,,FLEX,,3.6,2,2021
Saints,Team Perrotti,D/ST,,D/ST,,5,2,2021
Chase McLaughlin,Team Perrotti,K,,K,,7,2,2021
Matthew Stafford,Team Sachs,QB,,QB,,17.22,2,2021
Austin Ekeler,Team Sachs,RB,,RB,,22.5,2,2021
Aaron Jones,Team Sachs,RB,,RB,,41.5,2,2021
CeeDee Lamb,Team Sachs,WR,,WR,,17.4,2,2021
Cooper Kupp,Team Sachs,WR,,WR,,36.8,2,2021
T.J. Hockenson,Team Sachs,TE,,TE,,20.6,2,2021
David Montgomery,Team Sachs,RB,,FLEX,,10.9,2,2021
Giants,Team Sachs,D/ST,,D/ST,,-1,2,2021
Matt Gay,Team Sachs,K,,K,,9,2,2021
Lamar Jackson,Team Acquarulo,QB,,QB,,32.26,2,2021
D'Andre Swift,Team Acquarulo,RB,,RB,,11.8,2,2021
Joe Mixon,Team Acquarulo,RB,,RB,,8.1,2,2021
Stefon Diggs,Team Acquarulo,WR,,WR,,16,2,2021
Adam Thielen,Team Acquarulo,WR,,WR,,15.9,2,2021
George Kittle,Team Acquarulo,TE,,TE,,5.7,2,2021
Antonio Gibson,Team Shamas,RB,,FLEX,,23.6,12,2021
Browns,Team Acquarulo,D/ST,,D/ST,,5,2,2021
Brandon McManus,Team Acquarulo,K,,K,,13,2,2021
Jalen Hurts,Team Shamas,QB,,QB,,21.8,2,2021
Saquon Barkley,Team Shamas,RB,,RB,,8.9,2,2021
Christian McCaffrey,Team Shamas,RB,,RB,,24.7,2,2021
DK Metcalf,Team Shamas,WR,,WR,,11.3,2,2021
Mike Evans,Team Shamas,WR,,WR,,24.5,2,2021
Travis Kelce,Team Shamas,TE,,TE,,23.9,2,2021
Antonio Gibson,Team Shamas,RB,,FLEX,,22.1,13,2021
Broncos,Team Shamas,D/ST,,D/ST,,11,2,2021
Daniel Carlson,Team Shamas,K,,K,,17,2,2021
Dak Prescott,Team Pawlowicz,QB,,QB,,7.48,2,2021
Antonio Gibson,Team Pawlowicz,RB,,RB,,9.3,2,2021
AJ Dillon,Team Pawlowicz,RB,,RB,,3.6,2,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,5.9,2,2021
Tyler Lockett,Team Pawlowicz,WR,,WR,,31.8,2,2021
Rob Gronkowski,Team Pawlowicz,TE,,TE,,19.9,2,2021
Justin Jefferson,Team Pawlowicz,WR,,FLEX,,18.5,2,2021
Steelers,Team Pawlowicz,D/ST,,D/ST,,-1,2,2021
Jason Sanders,Team Pawlowicz,K,,K,,0,2,2021
Aaron Rodgers,Team Loomis,QB,,QB,,26.8,2,2021
Alvin Kamara,Team Loomis,RB,,RB,,7,2,2021
Chris Carson,Team Loomis,RB,,RB,,15.1,2,2021
DeAndre Hopkins,Team Loomis,WR,,WR,,15.4,2,2021
Keenan Allen,Team Loomis,WR,,WR,,14.8,2,2021
Tyler Higbee,Team Loomis,TE,,TE,,1.8,2,2021
Chase Claypool,Team Loomis,WR,,FLEX,,9.7,2,2021
Rams,Team Loomis,D/ST,,D/ST,,6,2,2021
Harrison Butker,Team Loomis,K,,K,,5,2,2021
Patrick Mahomes,Team Piazza,QB,,QB,,24.02,2,2021
Jonathan Taylor,Team Piazza,RB,,RB,,6.3,2,2021
Kareem Hunt,Team Piazza,RB,,RB,,6.3,2,2021
Davante Adams,Team Piazza,WR,,WR,,20.1,2,2021
Robert Woods,Team Piazza,WR,,WR,,12,2,2021
Mark Andrews,Team Piazza,TE,,TE,,10.7,2,2021
Antonio Brown,Team Piazza,WR,,FLEX,,2.7,2,2021
Commanders,Team Piazza,D/ST,,D/ST,,2,2,2021
Justin Tucker,Team Piazza,K,,K,,7,2,2021
Justin Herbert,Team Graver,QB,,QB,,14.72,2,2021
Ezekiel Elliott,Team Graver,RB,,RB,,17.7,2,2021
Clyde Edwards-Helaire,Team Graver,RB,,RB,,2.6,2,2021
Diontae Johnson,Team Graver,WR,,WR,,19.5,2,2021
Courtland Sutton,Team Graver,WR,,WR,,24.9,2,2021
Darren Waller,Team Graver,TE,,TE,,11.5,2,2021
Deebo Samuel,Team Graver,WR,,FLEX,,16.1,2,2021
Patriots,Team Graver,D/ST,,D/ST,,16,2,2021
Matt Prater,Team Graver,K,,K,,13,2,2021
Josh Allen,Team Dupre,QB,,QB,,37.22,3,2021
Nick Chubb,Team Dupre,RB,,RB,,8.4,3,2021
Chase Edmonds,Team Dupre,RB,,RB,,14.5,3,2021
Calvin Ridley,Team Dupre,WR,,WR,,14.1,3,2021
Terry McLaurin,Team Dupre,WR,,WR,,10.2,3,2021
Kyle Pitts,Team Dupre,TE,,TE,,5.5,3,2021
Antonio Gibson,Team Shamas,RB,,FLEX,,4.1,14,2021
Bills,Team Dupre,D/ST,,D/ST,,9,3,2021
Younghoe Koo,Team Dupre,K,,K,,6,3,2021
Lamar Jackson,Team Chasse,QB,,QB,,19.28,3,2021
Derrick Henry,Team Chasse,RB,,RB,,19.4,3,2021
Najee Harris,Team Chasse,RB,,RB,,28.2,3,2021
A.J. Brown,Team Chasse,WR,,WR,,0.3,3,2021
Mike Williams,Team Chasse,WR,,WR,,33.2,3,2021
Noah Fant,Team Chasse,TE,,TE,,3.5,3,2021
Chris Godwin,Team Chasse,WR,,FLEX,,19.6,3,2021
Buccaneers,Team Chasse,D/ST,,D/ST,,-3,3,2021
Graham Gano,Team Chasse,K,,K,,6,3,2021
Kyler Murray,Team Perrotti,QB,,QB,,18.54,3,2021
Miles Sanders,Team Perrotti,RB,,RB,,8.5,3,2021
