Player Name,Fantasy Team,POS,TEAM,SLOT,PROJ,FPTS,Week,Year
Joe Burrow,Team Pawlowicz,QB,,QB,,16.4,12,2021
Josh Jacobs,Team Pawlowicz,RB,,RB,,19.2,12,2021
J.D. McKissic,Team Pawlowicz,RB,,RB,,22.6,12,2021
Ja'Marr Chase,Team Pawlowicz,WR,,WR,,6.9,12,2021
Tyler Lockett,Team Pawlowicz,WR,,WR,,12.6,12,2021
Tyler Conklin,Team Pawlowicz,TE,,TE,,4.5,12,2021
DeVonta Smith,Team Pawlowicz,WR,,FLEX,,4.2,12,2021
Cowboys,Team Pawlowicz,D/ST,,D/ST,,0,12,2021
Evan McPherson,Team Pawlowicz,K,,K,,13,12,2021
Aaron Rodgers,Team Loomis,QB,,QB,,26.28,12,2021
Cordarrelle Patterson,Team Loomis,RB,,RB,,27.5,12,2021
Ezekiel Elliott,Team Loomis,RB,,RB,,16.9,12,2021
Mike Evans,Team Loomis,WR,,WR,,4.6,12,2021
Diontae Johnson,Team Loomis,WR,,WR,,18.5,12,2021
Tyler Higbee,Team Loomis,TE,,TE,,1.3,12,2021
Marquise Brown,Team Loomis,WR,,FLEX,,13.1,12,2021
Ravens,Team Loomis,D/ST,,D/ST,,12,12,2021
Ryan Succop,Team Loomis,K,,K,,8,12,2021
Tyrod Taylor,Team Piazza,QB,,QB,,15.32,12,2021
Jonathan Taylor,Team Piazza,RB,,RB,,19.7,12,2021
Kareem Hunt,Team Piazza,RB,,RB,,2,12,2021
Davante Adams,Team Piazza,WR,,WR,,18.4,12,2021
Michael Gallup,Team Piazza,WR,,WR,,15.6,12,2021
Mark Andrews,Team Piazza,TE,,TE,,16.5,12,2021
Michael Carter,Team Shamas,RB,,FLEX,,7.5,11,2021
Bears,Team Piazza,D/ST,,D/ST,,6,12,2021
Justin Tucker,Team Piazza,K,,K,,13,12,2021
Justin Herbert,Team Graver,QB,,QB,,19.72,12,2021
Aaron Jones,Team Graver,RB,,RB,,2.3,12,2021
Joe Mixon,Team Graver,RB,,RB,,32.3,12,2021
Justin Jefferson,Team Graver,WR,,WR,,13.26,12,2021
Keenan Allen,Team Graver,WR,,WR,,15.5,12,2021
George Kittle,Team Graver,TE,,TE,,2.3,12,2021
Dalton Schultz,Team Graver,TE,,FLEX,,15.6,12,2021
Buccaneers,Team Graver,D/ST,,D/ST,,11,12,2021
Graham Gano,Team Graver,K,,K,,6,12,2021
Josh Allen,Team Dupre,QB,,QB,,11.7,13,2021
Elijah Mitchell,Team Dupre,RB,,RB,,17.4,13,2021
Myles Gaskin,Team Dupre,RB,,RB,,6.9,13,2021
Adam Thielen,Team Dupre,WR,,WR,,1,13,2021
Brandon Aiyuk,Team Dupre,WR,,WR,,8.5,13,2021
Pat Freiermuth,Team Dupre,TE,,TE,,7.6,13,2021
Michael Gallup,Team Piazza,WR,,FLEX,,7.6,1,2021
Bills,Team Dupre,D/ST,,D/ST,,5,13,2021
Younghoe Koo,Team Dupre,K,,K,,5,13,2021
Matthew Stafford,Team Chasse,QB,,QB,,24,13,2021
Najee Harris,Team Chasse,RB,,RB,,15.7,13,2021
Rhamondre Stevenson,Team Chasse,RB,,RB,,7.8,13,2021
Brandin Cooks,Team Chasse,WR,,WR,,8.4,13,2021
Darnell Mooney,Team Chasse,WR,,WR,,7.7,13,2021
Travis Kelce,Team Chasse,TE,,TE,,5.7,13,2021
Rob Gronkowski,Team Chasse,TE,,FLEX,,21.8,13,2021
Patriots,Team Chasse,D/ST,,D/ST,,9,13,2021
Nick Folk,Team Chasse,K,,K,,7,13,2021
Dak Prescott,Team Perrotti,QB,,QB,,11.22,13,2021
Austin Ekeler,Team Perrotti,RB,,RB,,17.4,13,2021
Sony Michel,Team Perrotti,RB,,RB,,21.9,13,2021
Chris Godwin,Team Perrotti,WR,,WR,,30.2,13,2021
Odell Beckham Jr.,Team Perrotti,WR,,WR,,10.8,13,2021
T.J. Hockenson,Team Perrotti,TE,,TE,,14.9,13,2021
Saquon Barkley,Team Perrotti,RB,,FLEX,,13.4,13,2021
Dolphins,Team Perrotti,D/ST,,D/ST,,10,13,2021
Greg Joseph,Team Perrotti,K,,K,,10,13,2021
Lamar Jackson,Team Sachs,QB,,QB,,17.62,13,2021
Tevin Coleman,Team Sachs,RB,,RB,,10.7,13,2021
Rex Burkhead,Team Sachs,RB,,RB,,5.5,13,2021
Cooper Kupp,Team Sachs,WR,,WR,,26.9,13,2021
Jaylen Waddle,Team Sachs,WR,,WR,,18,13,2021
Mike Gesicki,Team Sachs,TE,,TE,,11.6,13,2021
Michael Pittman Jr.,Team Sachs,WR,,FLEX,,17,13,2021
Cardinals,Team Sachs,D/ST,,D/ST,,11,13,2021
Matt Gay,Team Sachs,K,,K,,15,13,2021
Derek Carr,Team Acquarulo,QB,,QB,,12.36,13,2021
David Montgomery,Team Acquarulo,RB,,RB,,28.1,13,2021
Jamaal Williams,Team Acquarulo,RB,,RB,,9,13,2021
Stefon Diggs,Team Acquarulo,WR,,WR,,9.1,13,2021
DK Metcalf,Team Acquarulo,WR,,WR,,11,13,2021
Noah Fant,Team Acquarulo,TE,,TE,,7.3,13,2021
Michael Gallup,Team Piazza,WR,,FLEX,,9.4,11,2021
Vikings,Team Acquarulo,D/ST,,D/ST,,5,13,2021
Brandon McManus,Team Acquarulo,K,,K,,4,13,2021
Tom Brady,Team Shamas,QB,,QB,,28.62,13,2021
Alexander Mattison,Team Shamas,RB,,RB,,21.4,13,2021
Leonard Fournette,Team Shamas,RB,,RB,,22.2,13,2021
CeeDee Lamb,Team Shamas,WR,,WR,,19.2,13,2021
Elijah Moore,Team Shamas,WR,,WR,,20.6,13,2021
Kyle Pitts,Team Shamas,TE,,TE,,8.8,13,2021
Michael Gallup,Team Piazza,WR,,FLEX,,11,14,2021
Eagles,Team Shamas,D/ST,,D/ST,,6,13,2021
Daniel Carlson,Team Shamas,K,,K,,11,13,2021
Kyler Murray,Team Pawlowicz,QB,,QB,,30.82,13,2021
Josh Jacobs,Team Pawlowicz,RB,,RB,,24,13,2021
Matt Breida,Team Pawlowicz,RB,,RB,,1.8,13,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,4.2,13,2021
Ja'Marr Chase,Team Pawlowicz,WR,,WR,,10.2,13,2021
Tyler Conklin,Team Pawlowicz,TE,,TE,,12.6,13,2021
Tyler Lockett,Team Pawlowicz,WR,,FLEX,,19.8,13,2021
Rams,Team Pawlowicz,D/ST,,D/ST,,12,13,2021
Evan McPherson,Team Pawlowicz,K,,K,,5,13,2021
Taylor Heinecke,Team Loomis,QB,,QB,,14.84,13,2021
Cordarrelle Patterson,Team Loomis,RB,,RB,,12.6,13,2021
James Conner,Team Loomis,RB,,RB,,19.1,13,2021
Marquise Brown,Team Loomis,WR,,WR,,10.5,13,2021
Diontae Johnson,Team Loomis,WR,,WR,,30.5,13,2021
Logan Thomas,Team Loomis,TE,,TE,,13.8,13,2021
Mike Evans,Team Loomis,WR,,FLEX,,16.9,13,2021
Ravens,Team Loomis,D/ST,,D/ST,,1,13,2021
Ryan Succop,Team Loomis,K,,K,,6,13,2021
Patrick Mahomes,Team Piazza,QB,,QB,,12.56,13,2021
Jonathan Taylor,Team Piazza,RB,,RB,,24.3,13,2021
Devin Singletary,Team Piazza,RB,,RB,,3.6,13,2021
Marvin Jones Jr.,Team Piazza,WR,,WR,,3.1,13,2021
Christian Kirk,Team Piazza,WR,,WR,,1.4,13,2021
Mark Andrews,Team Piazza,TE,,TE,,9,13,2021
Russell Gage,Team Sachs,WR,,FLEX,,10.4,14,2021
Colts,Team Piazza,D/ST,,D/ST,,16,13,2021
Justin Tucker,Team Piazza,K,,K,,7,13,2021
Justin Herbert,Team Graver,QB,,QB,,25.28,13,2021
Javonte Williams,Team Graver,RB,,RB,,29.8,13,2021
Joe Mixon,Team Graver,RB,,RB,,9.4,13,2021
Justin Jefferson,Team Graver,WR,,WR,,35.6,13,2021
Keenan Allen,Team Graver,WR,,WR,,22.4,13,2021
George Kittle,Team Graver,TE,,TE,,39.6,13,2021
DeAndre Hopkins,Team Graver,WR,,FLEX,,11.2,13,2021
Buccaneers,Team Graver,D/ST,,D/ST,,9,13,2021
Graham Gano,Team Graver,K,,K,,10,13,2021
Josh Allen,Team Dupre,QB,,QB,,35.22,14,2021
Nick Chubb,Team Dupre,RB,,RB,,9.5,14,2021
Myles Gaskin,Team Dupre,RB,,RB,,9.7,14,2021
Adam Thielen,Team Dupre,WR,,WR,,16.4,14,2021
Brandon Aiyuk,Team Dupre,WR,,WR,,0,14,2021
Pat Freiermuth,Team Dupre,TE,,TE,,11.2,14,2021
Terry McLaurin,Team Dupre,WR,,FLEX,,11.9,10,2021
Bills,Team Dupre,D/ST,,D/ST,,-4,14,2021
Younghoe Koo,Team Dupre,K,,K,,12,14,2021
Matthew Stafford,Team Chasse,QB,,QB,,23.48,14,2021
Najee Harris,Team Chasse,RB,,RB,,25.4,14,2021
Dontrell Hilliard,Team Chasse,RB,,RB,,1.3,14,2021
Mike Williams,Team Chasse,WR,,WR,,12.1,14,2021
Amari Cooper,Team Chasse,WR,,WR,,16.1,14,2021
Travis Kelce,Team Chasse,TE,,TE,,5.7,14,2021
Rob Gronkowski,Team Chasse,TE,,FLEX,,11.2,14,2021
Panthers,Team Chasse,D/ST,,D/ST,,2,14,2021
Tyler Bass,Team Chasse,K,,K,,9,14,2021
Dak Prescott,Team Perrotti,QB,,QB,,9.94,14,2021
Austin Ekeler,Team Perrotti,RB,,RB,,16.4,14,2021
Sony Michel,Team Perrotti,RB,,RB,,0.9,14,2021
Chris Godwin,Team Perrotti,WR,,WR,,20.5,14,2021
Deebo Samuel,Team Perrotti,WR,,WR,,12.9,14,2021
Dawson Knox,Team Perrotti,TE,,TE,,19,14,2021
Saquon Barkley,Team Perrotti,RB,,FLEX,,18.5,14,2021
Saints,Team Perrotti,D/ST,,D/ST,,8,14,2021
Greg Joseph,Team Perrotti,K,,K,,12,14,2021
Lamar Jackson,Team Sachs,QB,,QB,,1.18,14,2021
Alvin Kamara,Team Sachs,RB,,RB,,24.5,14,2021
Chuba Hubbard,Team Sachs,RB,,RB,,9.3,14,2021
Cooper Kupp,Team Sachs,WR,,WR,,31.3,14,2021
Chase Claypool,Team Sachs,WR,,WR,,17.5,14,2021
Cole Kmet,Team Sachs,TE,,TE,,4.7,14,2021
Terry McLaurin,Team Dupre,WR,,FLEX,,21.3,11,2021
Chargers,Team Sachs,D/ST,,D/ST,,6,14,2021
Matt Gay,Team Sachs,K,,K,,14,14,2021
Russell Wilson,Team Acquarulo,QB,,QB,,21.2,14,2021
David Montgomery,Team Acquarulo,RB,,RB,,14.1,14,2021
James Robinson,Team Acquarulo,RB,,RB,,0.4,14,2021
Stefon Diggs,Team Acquarulo,WR,,WR,,14.4,14,2021
DK Metcalf,Team Acquarulo,WR,,WR,,8.3,14,2021
Noah Fant,Team Acquarulo,TE,,TE,,9.1,14,2021
Jerry Jeudy,Team Acquarulo,WR,,FLEX,,9.7,14,2021
Titans,Team Acquarulo,D/ST,,D/ST,,19,14,2021
Brandon McManus,Team Acquarulo,K,,K,,10,14,2021
Taysom Hill,Team Shamas,QB,,QB,,26.3,14,2021
Dalvin Cook,Team Shamas,RB,,RB,,35.2,14,2021
Leonard Fournette,Team Shamas,RB,,RB,,23.2,14,2021
CeeDee Lamb,Team Shamas,WR,,WR,,14.6,14,2021
DJ Moore,Team Shamas,WR,,WR,,14.4,14,2021
Kyle Pitts,Team Shamas,TE,,TE,,11.1,14,2021
Terry McLaurin,Team Dupre,WR,,FLEX,,9.1,12,2021
Broncos,Team Shamas,D/ST,,D/ST,,9,14,2021
Daniel Carlson,Team Shamas,K,,K,,3,14,2021
Kyler Murray,Team Pawlowicz,QB,,QB,,17.42,14,2021
Josh Jacobs,Team Pawlowicz,RB,,RB,,10,14,2021
J.D. McKissic,Team Pawlowicz,RB,,RB,,0,14,2021
Tyreek Hill,Team Pawlowicz,WR,,WR,,11.6,14,2021
Ja'Marr Chase,Team Pawlowicz,WR,,WR,,25.3,14,2021
Tyler Conklin,Team Pawlowicz,TE,,TE,,4,14,2021
Tyler Lockett,Team Pawlowicz,WR,,FLEX,,27.2,14,2021
Cowboys,Team Pawlowicz,D/ST,,D/ST,,24,14,2021
Evan McPherson,Team Pawlowicz,K,,K,,11,14,2021
Aaron Rodgers,Team Loomis,QB,,QB,,29.64,14,2021
Cordarrelle Patterson,Team Loomis,RB,,RB,,13.9,14,2021
James Conner,Team Loomis,RB,,RB,,33.5,14,2021
Marquise Brown,Team Loomis,WR,,WR,,9.1,14,2021
Diontae Johnson,Team Loomis,WR,,WR,,15.3,14,2021
Zach Ertz,Team Loomis,TE,,TE,,9.2,14,2021
Mike Evans,Team Loomis,WR,,FLEX,,21.1,14,2021
Ravens,Team Loomis,D/ST,,D/ST,,4,14,2021
Harrison Butker,Team Loomis,K,,K,,14,14,2021
Patrick Mahomes,Team Piazza,QB,,QB,,20.32,14,2021
Kareem Hunt,Team Piazza,RB,,RB,,3.8,14,2021
D'Onta Foreman,Team Piazza,RB,,RB,,14.2,14,2021
Davante Adams,Team Piazza,WR,,WR,,34.1,14,2021
Van Jefferson,Team Piazza,WR,,WR,,14.8,14,2021
Mark Andrews,Team Piazza,TE,,TE,,28.5,14,2021
Terry McLaurin,Team Dupre,WR,,FLEX,,5.2,13,2021
Seahawks,Team Piazza,D/ST,,D/ST,,4,14,2021
Justin Tucker,Team Piazza,K,,K,,15,14,2021
Justin Herbert,Team Graver,QB,,QB,,24.9,14,2021
Aaron Jones,Team Graver,RB,,RB,,21.5,14,2021
Joe Mixon,Team Graver,RB,,RB,,8.8,14,2021
DeAndre Hopkins,Team Graver,WR,,WR,,10.4,14,2021
Justin Jefferson,Team Graver,WR,,WR,,20.5,14,2021
George Kittle,Team Graver,TE,,TE,,34.1,14,2021
Javonte Williams,Team Graver,RB,,FLEX,,21.3,14,2021
Packers,Team Graver,D/ST,,D/ST,,13,14,2021
Graham Gano,Team Graver,K,,K,,1,14,2021
Dak Prescott,Team Perrotti,QB,,QB,,10.58,15,2021
Austin Ekeler,Team Perrotti,RB,,RB,,18.2,15,2021
Saquon Barkley,Team Perrotti,RB,,RB,,9.4,15,2021
Chris Godwin,Team Perrotti,WR,,WR,,10.9,15,2021
Deebo Samuel,Team Perrotti,WR,,WR,,18.9,15,2021
Dawson Knox,Team Perrotti,TE,,TE,,7.8,15,2021
Odell Beckham Jr.,Team Perrotti,WR,,FLEX,,1.7,15,2021
Jaguars,Team Perrotti,D/ST,,D/ST,,4,15,2021
Greg Joseph,Team Perrotti,K,,K,,5,15,2021
Tua Tagovailoa,Team Sachs,QB,,QB,,13.74,15,2021
Alvin Kamara,Team Sachs,RB,,RB,,5.1,15,2021
Devonta Freeman,Team Sachs,RB,,RB,,3.4,15,2021
Cooper Kupp,Team Sachs,WR,,WR,,34.7,15,2021
Chase Claypool,Team Sachs,WR,,WR,,1.9,15,2021
Mike Gesicki,Team Sachs,TE,,TE,,9.3,15,2021
Terry McLaurin,Team Dupre,WR,,FLEX,,0,14,2021
Cardinals,Team Sachs,D/ST,,D/ST,,3,15,2021
Matt Gay,Team Sachs,K,,K,,10,15,2021
Tom Brady,Team Shamas,QB,,QB,,4.76,15,2021
Dalvin Cook,Team Shamas,RB,,RB,,11.1,15,2021
Leonard Fournette,Team Shamas,RB,,RB,,13.7,15,2021
CeeDee Lamb,Team Shamas,WR,,WR,,11,15,2021
Amon-Ra St. Brown,Team Shamas,WR,,WR,,23.5,15,2021
Kyle Pitts,Team Shamas,TE,,TE,,11.7,15,2021
49ers,Team Shamas,D/ST,,D/ST,,10,15,2021
Jake Elliott,Team Shamas,K,,K,,9,15,2021
Aaron Rodgers,Team Loomis,QB,,QB,,23.82,15,2021
Cordarrelle Patterson,Team Loomis,RB,,RB,,4.3,15,2021
James Conner,Team Loomis,RB,,RB,,9,15,2021
Mike Evans,Team Loomis,WR,,WR,,2.4,15,2021
Diontae Johnson,Team Loomis,WR,,WR,,9.8,15,2021
Zach Ertz,Team Loomis,TE,,TE,,13.4,15,2021
Hunter Renfrow,Team Loomis,WR,,FLEX,,6.2,15,2021
Dolphins,Team Loomis,D/ST,,D/ST,,10,15,2021
Harrison Butker,Team Loomis,K,,K,,8,15,2021
Matthew Stafford,Team Chasse,QB,,QB,,6.68,16,2021
Najee Harris,Team Chasse,RB,,RB,,16,16,2021
Melvin Gordon III,Team Chasse,RB,,RB,,1,16,2021
Amari Cooper,Team Chasse,WR,,WR,,21.5,16,2021
Darnell Mooney,Team Chasse,WR,,WR,,10.9,16,2021
Rob Gronkowski,Team Chasse,TE,,TE,,3.3,16,2021
Dallas Goedert,Team Chasse,TE,,FLEX,,4.8,16,2021
Patriots,Team Chasse,D/ST,,D/ST,,-4,16,2021
Nick Folk,Team Chasse,K,,K,,3,16,2021
Tom Brady,Team Shamas,QB,,QB,,14.38,16,2021
Alexander Mattison,Team Shamas,RB,,RB,,16,16,2021
Ronald Jones II,Team Shamas,RB,,RB,,16.1,16,2021
CeeDee Lamb,Team Shamas,WR,,WR,,10.4,16,2021
DJ Moore,Team Shamas,WR,,WR,,10.5,16,2021
Kyle Pitts,Team Shamas,TE,,TE,,16.2,16,2021
Chiefs,Team Shamas,D/ST,,D/ST,,11,16,2021
Elliot Fry,Team Shamas,K,,K,,12,16,2021
Aaron Rodgers,Team Loomis,QB,,QB,,19.98,16,2021
Cordarrelle Patterson,Team Loomis,RB,,RB,,8.3,16,2021
Ezekiel Elliott,Team Loomis,RB,,RB,,17.2,16,2021
Marquise Brown,Team Loomis,WR,,WR,,9.4,16,2021
Diontae Johnson,Team Loomis,WR,,WR,,15.1,16,2021
Zach Ertz,Team Loomis,TE,,TE,,13.4,16,2021
Hunter Renfrow,Team Loomis,WR,,FLEX,,13,16,2021
Dolphins,Team Loomis,D/ST,,D/ST,,25,16,2021
Daniel Carlson,Team Loomis,K,,K,,6,16,2021
Justin Herbert,Team Graver,QB,,QB,,16.94,16,2021
Javonte Williams,Team Graver,RB,,RB,,10,16,2021
Joe Mixon,Team Graver,RB,,RB,,31.5,16,2021
Justin Jefferson,Team Graver,WR,,WR,,19.6,16,2021
Keenan Allen,Team Graver,WR,,WR,,7.5,16,2021
George Kittle,Team Graver,TE,,TE,,4.1,16,2021
Antonio Brown,Team Graver,WR,,FLEX,,20.1,16,2021
Buccaneers,Team Graver,D/ST,,D/ST,,15,16,2021
Greg Zuerlein,Team Graver,K,,K,,8,16,2021
Aaron Rodgers,Team Loomis,QB,,QB,,20.32,17,2021
Ezekiel Elliott,Team Loomis,RB,,RB,,4,17,2021
Sony Michel,Team Loomis,RB,,RB,,18.9,17,2021
Mike Evans,Team Loomis,WR,,WR,,14.7,17,2021
Diontae Johnson,Team Loomis,WR,,WR,,17.1,17,2021
Zach Ertz,Team Loomis,TE,,TE,,11.1,17,2021
Hunter Renfrow,Team Loomis,WR,,FLEX,,20.6,17,2021
Dolphins,Team Loomis,D/ST,,D/ST,,0,17,2021
Harrison Butker,Team Loomis,K,,K,,7,17,2021
Justin Herbert,Team Graver,QB,,QB,,17.68,17,2021
Aaron Jones,Team Graver,RB,,RB,,15.6,17,2021
Joe Mixon,Team Graver,RB,,RB,,15.6,17,2021
Justin Jefferson,Team Graver,WR,,WR,,11.8,17,2021
Keenan Allen,Team Graver,WR,,WR,,14.4,17,2021
George Kittle,Team Graver,TE,,TE,,4.5,17,2021
Antonio Brown,Team Graver,WR,,FLEX,,5.6,17,2021
Buccaneers,Team Graver,D/ST,,D/ST,,2,17,2021
Greg Zuerlein,Team Graver,K,,K,,1,17,2021
Tim Patrick,Team Shamas,WR,,FLEX,,13.2,6,2021
Tim Patrick,Team Shamas,WR,,FLEX,,3.6,7,2021
Tyler Boyd,Team Dupre,WR,,FLEX,,13.6,3,2021
Ty'Son Williams,Team Shamas,RB,,FLEX,,11.3,2,2021
Zach Pascal,Team Loomis,WR,,FLEX,,0,6,2021
Aaron Rodgers,Dave Sucks,QB,GB,Bench,19.7,3.7,1,2022
Breece Hall,Dave Sucks,RB,NYJ,Bench,10.3,10.1,1,2022
Gabe Davis,Dave Sucks,WR,BUF,Bench,12.3,18.8,1,2022
Kadarius Toney,Dave Sucks,WR,NYG,Bench,12.2,2.3,1,2022
Matthew Stafford,Dave Sucks,QB,LAR,Bench,16.9,7.8,1,2022
Russell Gage,Dave Sucks,WR,TB,Bench,10,3.3,1,2022
Tyler Boyd,Dave Sucks,WR,CIN,Bench,8.4,13.3,1,2022
Colts,Dave Sucks,D/ST,IND,D/ST,7.3,7,1,2022
DJ Moore,Dave Sucks,WR,CAR,FLEX,14.5,8,1,2022
Matt Prater,Dave Sucks,K,ARI,K,8.1,1,1,2022
Lamar Jackson,Dave Sucks,QB,BAL,QB,21.2,20.22,1,2022
D'Andre Swift,Dave Sucks,RB,DET,RB,16,26.5,1,2022
J.K. Dobbins,Dave Sucks,RB,BAL,RB,0,0,1,2022
Pat Freiermuth,Dave Sucks,TE,PIT,TE,9.5,12.5,1,2022
Stefon Diggs,Dave Sucks,WR,BUF,WR,16.7,26.2,1,2022
Tee Higgins,Dave Sucks,WR,CIN,WR,14.6,4.7,1,2022
Dallas Goedert,Dylan ate my Fantasy Points,TE,PHI,Bench,10.1,9,1,2022
J.D. McKissic,Dylan ate my Fantasy Points,RB,WSH,Bench,10.1,7.8,1,2022
Jerry Jeudy,Dylan ate my Fantasy Points,WR,DEN,Bench,13.5,20.2,1,2022
Kareem Hunt,Dylan ate my Fantasy Points,RB,CLE,Bench,12,23,1,2022
Skyy Moore,Dylan ate my Fantasy Points,WR,KC,Bench,5.4,4,1,2022
Travis Etienne Jr.,Dylan ate my Fantasy Points,RB,JAX,Bench,13.6,8.5,1,2022
Treylon Burks,Dylan ate my Fantasy Points,WR,TEN,Bench,8,8.5,1,2022
Steelers,Dylan ate my Fantasy Points,D/ST,PIT,D/ST,5.2,22,1,2022
Brandin Cooks,Dylan ate my Fantasy Points,WR,HOU,FLEX,13.7,15.2,1,2022
Brandon McManus,Dylan ate my Fantasy Points,K,DEN,K,8.1,10,1,2022
Tom Brady,Dylan ate my Fantasy Points,QB,TB,QB,19.1,10.38,1,2022
Alvin Kamara,Dylan ate my Fantasy Points,RB,NO,RB,18.7,7.6,1,2022
Elijah Mitchell,Dylan ate my Fantasy Points,RB,SF,RB,15.2,4.1,1,2022
Darren Waller,Dylan ate my Fantasy Points,TE,LV,TE,11.9,11.9,1,2022
Davante Adams,Dylan ate my Fantasy Points,WR,LV,WR,17.3,30.1,1,2022
Deebo Samuel,Dylan ate my Fantasy Points,WR,SF,WR,16.5,12.6,1,2022
Chris Godwin,Justin Jefferson,WR,TB,Bench,10.4,6.5,1,2022
Dameon Pierce,Justin Jefferson,RB,HOU,Bench,10.9,4.9,1,2022
Dawson Knox,Justin Jefferson,TE,BUF,Bench,9.4,1.5,1,2022
DeVonta Smith,Justin Jefferson,WR,PHI,Bench,12.2,0,1,2022
Drake London,Justin Jefferson,WR,ATL,Bench,11.7,12.4,1,2022
Kirk Cousins,Justin Jefferson,QB,MIN,Bench,15.7,19.08,1,2022
Robert Woods,Justin Jefferson,WR,TEN,Bench,11.5,2.3,1,2022
Titans,Justin Jefferson,D/ST,TEN,D/ST,6.6,8,1,2022
Chase Edmonds,Justin Jefferson,RB,MIA,FLEX,10.6,10.5,1,2022
Harrison Butker,Justin Jefferson,K,KC,K,8.3,9,1,2022
Joe Burrow,Justin Jefferson,QB,CIN,QB,18.1,18.22,1,2022
Aaron Jones,Justin Jefferson,RB,GB,RB,15.7,10.6,1,2022
Christian McCaffrey,Justin Jefferson,RB,CAR,RB,21,15.7,1,2022
Mark Andrews,Justin Jefferson,TE,BAL,TE,14.4,10.2,1,2022
Marquise Brown,Justin Jefferson,WR,ARI,WR,14.5,14.3,1,2022
Michael Pittman Jr.,Justin Jefferson,WR,IND,WR,14.9,27.1,1,2022
Allen Lazard,Justin is Brown,WR,GB,Bench,0,0,1,2022
Bills,Justin is Brown,D/ST,BUF,Bench,5.1,18,1,2022
Brandon Aiyuk,Justin is Brown,WR,SF,Bench,10.7,6.7,1,2022
Jahan Dotson,Justin is Brown,WR,WSH,Bench,9.4,18,1,2022
Julio Jones,Justin is Brown,WR,TB,Bench,9.8,11.6,1,2022
Justin Fields,Justin is Brown,QB,CHI,Bench,13.8,13.64,1,2022
Kenneth Walker III,Justin is Brown,RB,SEA,Bench,0,0,1,2022
Bengals,Justin is Brown,D/ST,CIN,D/ST,7,4,1,2022
JuJu Smith-Schuster,Justin is Brown,WR,KC,FLEX,12.4,11.9,1,2022
Daniel Carlson,Justin is Brown,K,LV,K,7.9,9,1,2022
Justin Herbert,Justin is Brown,QB,LAC,QB,20.8,23.26,1,2022
Austin Ekeler,Justin is Brown,RB,LAC,RB,19.6,11.2,1,2022
Rashaad Penny,Justin is Brown,RB,SEA,RB,13.2,8.7,1,2022
Travis Kelce,Justin is Brown,TE,KC,TE,14.3,26.1,1,2022
A.J. Brown,Justin is Brown,WR,PHI,WR,14.4,25.5,1,2022
Adam Thielen,Justin is Brown,WR,MIN,WR,12.9,6.6,1,2022
Garrett Wilson,My Boy,WR,NYJ,Bench,8.4,9.2,1,2022
James Robinson,My Boy,RB,JAX,Bench,8.6,19.9,1,2022
Kenny Golladay,My Boy,WR,NYG,Bench,9.3,4.2,1,2022
Melvin Gordon III,My Boy,RB,DEN,Bench,9,7.2,1,2022
Miles Sanders,My Boy,RB,PHI,Bench,12.8,18.5,1,2022
Rhamondre Stevenson,My Boy,RB,NE,Bench,11.3,4.7,1,2022
Trey Lance,My Boy,QB,SF,Bench,17.5,9.96,1,2022
Ravens,My Boy,D/ST,BAL,D/ST,5.8,9,1,2022
Mike Evans,My Boy,WR,TB,FLEX,14.8,18.1,1,2022
Graham Gano,My Boy,K,NYG,K,7.7,1,1,2022
Kyler Murray,My Boy,QB,ARI,QB,20.5,20.62,1,2022
Antonio Gibson,My Boy,RB,WSH,RB,15.5,20,1,2022
Dalvin Cook,My Boy,RB,MIN,RB,16.8,13.8,1,2022
Dalton Schultz,My Boy,TE,DAL,TE,11.7,13.2,1,2022
Ja'Marr Chase,My Boy,WR,CIN,WR,17,28.9,1,2022
Jaylen Waddle,My Boy,WR,MIA,WR,13.5,17.7,1,2022
Alexander Mattison,Najee Germany,RB,MIN,Bench,4.3,3.6,1,2022
Clyde Edwards-Helaire,Najee Germany,RB,KC,Bench,11.6,22.4,1,2022
DeAndre Hopkins,Najee Germany,WR,ARI,Bench,0,0,1,2022
George Pickens,Najee Germany,WR,PIT,Bench,8.6,1.3,1,2022
Hunter Henry,Najee Germany,TE,NE,Bench,9.1,4,1,2022
James Cook,Najee Germany,RB,BUF,Bench,6.3,-1.8,1,2022
Josh Jacobs,Najee Germany,RB,LV,Bench,12.9,8.3,1,2022
Saints,Najee Germany,D/ST,NO,D/ST,8.5,3,1,2022
Michael Thomas,Najee Germany,WR,NO,FLEX,13.1,22.7,1,2022
Tyler Bass,Najee Germany,K,BUF,K,7.5,8,1,2022
Russell Wilson,Najee Germany,QB,DEN,QB,19.1,17.8,1,2022
Najee Harris,Najee Germany,RB,PIT,RB,16.4,10.6,1,2022
Saquon Barkley,Najee Germany,RB,NYG,RB,15.9,33.4,1,2022
Kyle Pitts,Najee Germany,TE,ATL,TE,11.9,3.9,1,2022
CeeDee Lamb,Najee Germany,WR,DAL,WR,17,4.9,1,2022
DK Metcalf,Najee Germany,WR,SEA,WR,13.1,8.6,1,2022
Cordarrelle Patterson,PEDeAndre Hopkins,RB,ATL,Bench,11.1,22.6,1,2022
KaVontae Turpin,PEDeAndre Hopkins,WR,DAL,Bench,2.9,0,1,2022
