Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
Team Pawlowicz,65.48,Team Dupre,113.66,0,1,9,2021,Regular Season
Team Loomis,145.58,Team Sachs,114.06,1,0,9,2021,Regular Season
Team Sachs,114.06,Team Loomis,145.58,0,1,9,2021,Regular Season
Team Acquarulo,90.78,Team Perrotti,100.18,0,1,9,2021,Regular Season
Team Perrotti,100.18,Team Acquarulo,90.78,1,0,9,2021,Regular Season
Team Graver,122.14,Team Shamas,78.3,1,0,9,2021,Regular Season
Team Shamas,78.3,Team Graver,122.14,0,1,9,2021,Regular Season
Team Sachs,97.62,Team Chasse,104.92,0,1,10,2021,Regular Season
Team Chasse,104.92,Team Sachs,97.62,1,0,10,2021,Regular Season
Team Pawlowicz,124.54,Team Perrotti,119.24,1,0,10,2021,Regular Season
Team Perrotti,119.24,Team Pawlowicz,124.54,0,1,10,2021,Regular Season
Team Shamas,133.64,Team Dupre,88.84,1,0,10,2021,Regular Season
Team Dupre,88.84,Team Shamas,133.64,0,1,10,2021,Regular Season
Team Piazza,142.14,Team Acquarulo,123.82,1,0,10,2021,Regular Season
Team Acquarulo,123.82,Team Piazza,142.14,0,1,10,2021,Regular Season
Team Graver,115.56,Team Loomis,107.2,1,0,10,2021,Regular Season
Team Loomis,107.2,Team Graver,115.56,0,1,10,2021,Regular Season
Team Acquarulo,120.38,Team Chasse,126.08,0,1,11,2021,Regular Season
Team Chasse,126.08,Team Acquarulo,120.38,1,0,11,2021,Regular Season
Team Shamas,124.92,Team Perrotti,134.24,0,1,11,2021,Regular Season
Team Perrotti,134.24,Team Shamas,124.92,1,0,11,2021,Regular Season
Team Sachs,92.66,Team Graver,168.38,0,1,11,2021,Regular Season
Team Graver,168.38,Team Sachs,92.66,1,0,11,2021,Regular Season
Team Piazza,146.2,Team Pawlowicz,85.68,1,0,11,2021,Regular Season
Team Pawlowicz,85.68,Team Piazza,146.2,0,1,11,2021,Regular Season
Team Dupre,86.46,Team Loomis,154.9,0,1,11,2021,Regular Season
Team Loomis,154.9,Team Dupre,86.46,1,0,11,2021,Regular Season
Team Chasse,104.94,Team Pawlowicz,99.4,1,0,12,2021,Regular Season
Team Pawlowicz,99.4,Team Chasse,104.94,0,1,12,2021,Regular Season
Team Graver,117.98,Team Acquarulo,68.66,1,0,12,2021,Regular Season
Team Acquarulo,68.66,Team Graver,117.98,0,1,12,2021,Regular Season
Team Perrotti,138.8,Team Piazza,114.82,1,0,12,2021,Regular Season
Team Piazza,114.82,Team Perrotti,138.8,0,1,12,2021,Regular Season
Team Loomis,128.18,Team Shamas,142.38,0,1,12,2021,Regular Season
Team Shamas,142.38,Team Loomis,128.18,1,0,12,2021,Regular Season
Team Dupre,124.6,Team Sachs,97.2,1,0,12,2021,Regular Season
Team Sachs,97.2,Team Dupre,124.6,0,1,12,2021,Regular Season
Team Chasse,107.1,Team Perrotti,139.82,0,1,13,2021,Regular Season
Team Perrotti,139.82,Team Chasse,107.1,1,0,13,2021,Regular Season
Team Loomis,125.24,Team Piazza,87.96,1,0,13,2021,Regular Season
Team Piazza,87.96,Team Loomis,125.24,0,1,13,2021,Regular Season
Team Pawlowicz,120.42,Team Acquarulo,88.36,1,0,13,2021,Regular Season
Team Acquarulo,88.36,Team Pawlowicz,120.42,0,1,13,2021,Regular Season
Team Graver,192.28,Team Dupre,68.3,1,0,13,2021,Regular Season
Team Dupre,68.3,Team Graver,192.28,0,1,13,2021,Regular Season
Team Shamas,159.92,Team Sachs,133.32,1,0,13,2021,Regular Season
Team Sachs,133.32,Team Shamas,159.92,0,1,13,2021,Regular Season
Team Chasse,106.28,Team Dupre,90.02,1,0,14,2021,Regular Season
Team Dupre,90.02,Team Chasse,106.28,0,1,14,2021,Regular Season
Team Perrotti,125.14,Team Sachs,118.88,1,0,14,2021,Regular Season
Team Sachs,118.88,Team Perrotti,125.14,0,1,14,2021,Regular Season
Team Acquarulo,106.2,Team Shamas,140.9,0,1,14,2021,Regular Season
Team Shamas,140.9,Team Acquarulo,106.2,1,0,14,2021,Regular Season
Team Piazza,145.72,Team Graver,155.5,0,1,14,2021,Regular Season
Team Graver,155.5,Team Piazza,145.72,1,0,14,2021,Regular Season
Team Pawlowicz,130.52,Team Loomis,149.74,0,1,14,2021,Regular Season
Team Loomis,149.74,Team Pawlowicz,130.52,1,0,14,2021,Regular Season
Team Perrotti,86.48,Team Loomis,86.92,0,1,15,2021,Quarterfinals
Team Loomis,86.92,Team Perrotti,86.48,1,0,15,2021,Quarterfinals
Team Shamas,113.26,Team Sachs,86.44,1,0,15,2021,Quarterfinals
Team Sachs,86.44,Team Shamas,113.26,0,1,15,2021,Quarterfinals
Team Chasse,63.18,Team Loomis,102.38,0,1,16,2021,Semifinals
Team Loomis,102.38,Team Chasse,63.18,1,0,16,2021,Semifinals
Team Graver,132.74,Team Shamas,120.38,1,0,16,2021,Semifinals
Team Shamas,120.38,Team Graver,132.74,0,1,16,2021,Semifinals
Team Loomis,113.72,Team Graver,88.18,1,0,17,2021,Finals
Team Graver,88.18,Team Loomis,113.72,0,1,17,2021,Finals
Dave Sucks,106.12,Silence D at work,109.02,0,1,1,2022,Regular Season
Dylan ate my Fantasy Points,123.88,Najee Germany,112.9,1,0,1,2022,Regular Season
Justin Jefferson,123.62,PEDeAndre Hopkins,143.38,0,1,1,2022,Regular Season
Justin is Brown,126.26,My Boy,142.32,0,1,1,2022,Regular Season
My Boy,142.32,Justin is Brown,126.26,1,0,1,2022,Regular Season
Najee Germany,112.9,Dylan ate my Fantasy Points,123.88,0,1,1,2022,Regular Season
PEDeAndre Hopkins,143.38,Justin Jefferson,123.62,1,0,1,2022,Regular Season
Scammer got Scammed,98.9,The DakStreet Boys,93.86,1,0,1,2022,Regular Season
Silence D at work,109.02,Dave Sucks,106.12,1,0,1,2022,Regular Season
The DakStreet Boys,93.86,Scammer got Scammed,98.9,0,1,1,2022,Regular Season
Dave Sucks,146.92,Najee Germany,101.56,1,0,2,2022,Regular Season
Dylan ate my Fantasy Points,86.2,PEDeAndre Hopkins,118.68,0,1,2,2022,Regular Season
Justin Jefferson,128.46,My Boy,132.38,0,1,2,2022,Regular Season
Justin is Brown,168.26,The DakStreet Boys,124.88,1,0,2,2022,Regular Season
My Boy,132.38,Justin Jefferson,128.46,1,0,2,2022,Regular Season
Najee Germany,101.56,Dave Sucks,146.92,0,1,2,2022,Regular Season
PEDeAndre Hopkins,118.68,Dylan ate my Fantasy Points,86.2,1,0,2,2022,Regular Season
Scammer got Scammed,145.18,Silence D at work,125.52,1,0,2,2022,Regular Season
Silence D at work,125.52,Scammer got Scammed,145.18,0,1,2,2022,Regular Season
The DakStreet Boys,124.88,Justin is Brown,168.26,0,1,2,2022,Regular Season
Dave Sucks,115.82,PEDeAndre Hopkins,136.9,0,1,3,2022,Regular Season
Dylan ate my Fantasy Points,94.54,My Boy,97.06,0,1,3,2022,Regular Season
Justin Jefferson,130.3,The DakStreet Boys,85.54,1,0,3,2022,Regular Season
Justin is Brown,101.58,Scammer got Scammed,114.82,0,1,3,2022,Regular Season
My Boy,97.06,Dylan ate my Fantasy Points,94.54,1,0,3,2022,Regular Season
Najee Germany,95.66,Silence D at work,137.7,0,1,3,2022,Regular Season
PEDeAndre Hopkins,136.9,Dave Sucks,115.82,1,0,3,2022,Regular Season
Scammer got Scammed,114.82,Justin is Brown,101.58,1,0,3,2022,Regular Season
Silence D at work,137.7,Najee Germany,95.66,1,0,3,2022,Regular Season
The DakStreet Boys,85.54,Justin Jefferson,130.3,0,1,3,2022,Regular Season
Dave Sucks,147.76,Dylan ate my Fantasy Points,94.16,1,0,4,2022,Regular Season
Dylan ate my Fantasy Points,94.16,Dave Sucks,147.76,0,1,4,2022,Regular Season
Justin Jefferson,103.98,Scammer got Scammed,155.92,0,1,4,2022,Regular Season
Justin is Brown,124.86,Najee Germany,100.8,1,0,4,2022,Regular Season
My Boy,111.98,The DakStreet Boys,141.32,0,1,4,2022,Regular Season
Najee Germany,100.8,Justin is Brown,124.86,0,1,4,2022,Regular Season
PEDeAndre Hopkins,175.12,Silence D at work,103.16,1,0,4,2022,Regular Season
Scammer got Scammed,155.92,Justin Jefferson,103.98,1,0,4,2022,Regular Season
Silence D at work,103.16,PEDeAndre Hopkins,175.12,0,1,4,2022,Regular Season
The DakStreet Boys,141.32,My Boy,111.98,1,0,4,2022,Regular Season
Dave Sucks,137.26,The DakStreet Boys,104.56,1,0,5,2022,Regular Season
Dylan ate my Fantasy Points,106.14,Silence D at work,108.46,0,1,5,2022,Regular Season
Justin Jefferson,151.98,Justin is Brown,109.88,1,0,5,2022,Regular Season
Justin is Brown,109.88,Justin Jefferson,151.98,0,1,5,2022,Regular Season
My Boy,114.7,Scammer got Scammed,121.8,0,1,5,2022,Regular Season
Najee Germany,108.82,PEDeAndre Hopkins,175.46,0,1,5,2022,Regular Season
PEDeAndre Hopkins,175.46,Najee Germany,108.82,1,0,5,2022,Regular Season
Scammer got Scammed,121.8,My Boy,114.7,1,0,5,2022,Regular Season
Silence D at work,108.46,Dylan ate my Fantasy Points,106.14,1,0,5,2022,Regular Season
The DakStreet Boys,104.56,Dave Sucks,137.26,0,1,5,2022,Regular Season
Dave Sucks,120.6,Justin is Brown,106.92,1,0,6,2022,Regular Season
Dylan ate my Fantasy Points,80.82,Scammer got Scammed,103.1,0,1,6,2022,Regular Season
Justin Jefferson,153.5,Silence D at work,120.1,1,0,6,2022,Regular Season
Justin is Brown,106.92,Dave Sucks,120.6,0,1,6,2022,Regular Season
My Boy,120.28,Najee Germany,90.82,1,0,6,2022,Regular Season
Najee Germany,90.82,My Boy,120.28,0,1,6,2022,Regular Season
PEDeAndre Hopkins,126.56,The DakStreet Boys,95.02,1,0,6,2022,Regular Season
Scammer got Scammed,103.1,Dylan ate my Fantasy Points,80.82,1,0,6,2022,Regular Season
Silence D at work,120.1,Justin Jefferson,153.5,0,1,6,2022,Regular Season
The DakStreet Boys,95.02,PEDeAndre Hopkins,126.56,0,1,6,2022,Regular Season
Dave Sucks,118.8,My Boy,132.26,0,1,7,2022,Regular Season
Dylan ate my Fantasy Points,99.92,Justin Jefferson,93.44,1,0,7,2022,Regular Season
Justin Jefferson,93.44,Dylan ate my Fantasy Points,99.92,0,1,7,2022,Regular Season
Justin is Brown,97.9,PEDeAndre Hopkins,116.04,0,1,7,2022,Regular Season
My Boy,132.26,Dave Sucks,118.8,1,0,7,2022,Regular Season
Najee Germany,133.52,Scammer got Scammed,154.84,0,1,7,2022,Regular Season
PEDeAndre Hopkins,116.04,Justin is Brown,97.9,1,0,7,2022,Regular Season
Scammer got Scammed,154.84,Najee Germany,133.52,1,0,7,2022,Regular Season
Silence D at work,99.12,The DakStreet Boys,131.58,0,1,7,2022,Regular Season
The DakStreet Boys,131.58,Silence D at work,99.12,1,0,7,2022,Regular Season
Dave Sucks,156.82,Scammer got Scammed,106.54,1,0,8,2022,Regular Season
Dylan ate my Fantasy Points,133.84,The DakStreet Boys,91.2,1,0,8,2022,Regular Season
Justin Jefferson,158.24,Najee Germany,113.54,1,0,8,2022,Regular Season
Justin is Brown,115.98,Silence D at work,104.6,1,0,8,2022,Regular Season
My Boy,158.94,PEDeAndre Hopkins,166.02,0,1,8,2022,Regular Season
Najee Germany,113.54,Justin Jefferson,158.24,0,1,8,2022,Regular Season
PEDeAndre Hopkins,166.02,My Boy,158.94,1,0,8,2022,Regular Season
Scammer got Scammed,106.54,Dave Sucks,156.82,0,1,8,2022,Regular Season
Silence D at work,104.6,Justin is Brown,115.98,0,1,8,2022,Regular Season
The DakStreet Boys,91.2,Dylan ate my Fantasy Points,133.84,0,1,8,2022,Regular Season
Dave Sucks,135.62,Justin Jefferson,120.34,1,0,9,2022,Regular Season
Dylan ate my Fantasy Points,110.94,Silence D at work,84.14,1,0,9,2022,Regular Season
Justin Jefferson,120.34,Dave Sucks,135.62,0,1,9,2022,Regular Season
Justin is Brown,91.3,My Boy,91.8,0,1,9,2022,Regular Season
My Boy,91.8,Justin is Brown,91.3,1,0,9,2022,Regular Season
Najee Germany,137.3,PEDeAndre Hopkins,142.9,0,1,9,2022,Regular Season
PEDeAndre Hopkins,142.9,Najee Germany,137.3,1,0,9,2022,Regular Season
Scammer got Scammed,112,The DakStreet Boys,150.3,0,1,9,2022,Regular Season
Silence D at work,84.14,Dylan ate my Fantasy Points,110.94,0,1,9,2022,Regular Season
The DakStreet Boys,150.3,Scammer got Scammed,112,1,0,9,2022,Regular Season
Dave Sucks,62.7,Silence D at work,123,0,1,10,2022,Regular Season
Dylan ate my Fantasy Points,83.3,Najee Germany,141.5,0,1,10,2022,Regular Season
Justin Jefferson,153.48,My Boy,105.08,1,0,10,2022,Regular Season
Justin is Brown,132.94,The DakStreet Boys,107.7,1,0,10,2022,Regular Season
My Boy,105.08,Justin Jefferson,153.48,0,1,10,2022,Regular Season
Najee Germany,141.5,Dylan ate my Fantasy Points,83.3,1,0,10,2022,Regular Season
PEDeAndre Hopkins,89.8,Scammer got Scammed,119.02,0,1,10,2022,Regular Season
Scammer got Scammed,119.02,PEDeAndre Hopkins,89.8,1,0,10,2022,Regular Season
Silence D at work,123,Dave Sucks,62.7,1,0,10,2022,Regular Season
The DakStreet Boys,107.7,Justin is Brown,132.94,0,1,10,2022,Regular Season
Dave Sucks,111.62,Najee Germany,116.2,0,1,11,2022,Regular Season
Dylan ate my Fantasy Points,118.64,PEDeAndre Hopkins,152.28,0,1,11,2022,Regular Season
Justin Jefferson,98.32,The DakStreet Boys,88.64,1,0,11,2022,Regular Season
Justin is Brown,158.16,Scammer got Scammed,91,1,0,11,2022,Regular Season
My Boy,109.74,Silence D at work,122.8,0,1,11,2022,Regular Season
Najee Germany,116.2,Dave Sucks,111.62,1,0,11,2022,Regular Season
