Team,Points For,Opposing Team,Points Against,Win,Loss,Week,Year,Matchup Type
PEDeAndre Hopkins,111.64,Team Chieffo,134.24,0,1,5,2023,Regular Season
Pocket Aces,86.62,Cup of Joe,106.64,0,1,5,2023,Regular Season
Riley Reid Option,134.82,Jah is gay,122.36,1,0,5,2023,Regular Season
S(kittle),162.58,My digg hurts,123.92,1,0,5,2023,Regular Season
Team Chieffo,134.24,PEDeAndre Hopkins,111.64,1,0,5,2023,Regular Season
Chase-ing Young Children,113.32,My digg hurts,108.8,1,0,6,2023,Regular Season
Cup of Joe,107.88,S(kittle),108.8,0,1,6,2023,Regular Season
Jah is gay,140.46,PEDeAndre Hopkins,141.44,0,1,6,2023,Regular Season
Mr. FigureItOut,98.94,Team Chieffo,120.54,0,1,6,2023,Regular Season
My digg hurts,108.8,Chase-ing Young Children,113.32,0,1,6,2023,Regular Season
PEDeAndre Hopkins,141.44,Jah is gay,140.46,1,0,6,2023,Regular Season
Pocket Aces,94.42,Riley Reid Option,127.48,0,1,6,2023,Regular Season
Riley Reid Option,127.48,Pocket Aces,94.42,1,0,6,2023,Regular Season
S(kittle),108.8,Cup of Joe,107.88,1,0,6,2023,Regular Season
Team Chieffo,120.54,Mr. FigureItOut,98.94,1,0,6,2023,Regular Season
Chase-ing Young Children,158.38,Team Chieffo,143.82,1,0,7,2023,Regular Season
Cup of Joe,91.26,My digg hurts,97.56,0,1,7,2023,Regular Season
Jah is gay,111.5,S(kittle),125.28,0,1,7,2023,Regular Season
Mr. FigureItOut,109.5,Riley Reid Option,126.14,0,1,7,2023,Regular Season
My digg hurts,97.56,Cup of Joe,91.26,1,0,7,2023,Regular Season
PEDeAndre Hopkins,143.56,Pocket Aces,67,1,0,7,2023,Regular Season
Pocket Aces,67,PEDeAndre Hopkins,143.56,0,1,7,2023,Regular Season
Riley Reid Option,126.14,Mr. FigureItOut,109.5,1,0,7,2023,Regular Season
S(kittle),125.28,Jah is gay,111.5,1,0,7,2023,Regular Season
Team Chieffo,143.82,Chase-ing Young Children,158.38,0,1,7,2023,Regular Season
Chase-ing Young Children,153.96,Riley Reid Option,108.26,1,0,8,2023,Regular Season
Cup of Joe,126.52,Team Chieffo,112.96,1,0,8,2023,Regular Season
Jah is gay,105.98,My digg hurts,117.96,0,1,8,2023,Regular Season
Mr. FigureItOut,97.2,PEDeAndre Hopkins,135.1,0,1,8,2023,Regular Season
My digg hurts,117.96,Jah is gay,105.98,1,0,8,2023,Regular Season
PEDeAndre Hopkins,135.1,Mr. FigureItOut,97.2,1,0,8,2023,Regular Season
Pocket Aces,139.76,S(kittle),137.4,1,0,8,2023,Regular Season
Riley Reid Option,108.26,Chase-ing Young Children,153.96,0,1,8,2023,Regular Season
S(kittle),137.4,Pocket Aces,139.76,0,1,8,2023,Regular Season
Team Chieffo,112.96,Cup of Joe,126.52,0,1,8,2023,Regular Season
Chase-ing Young Children,121.72,Mr. FigureItOut,94.96,1,0,9,2023,Regular Season
Cup of Joe,96.26,Pocket Aces,144.46,0,1,9,2023,Regular Season
Jah is gay,134.08,Team Chieffo,105.7,1,0,9,2023,Regular Season
Mr. FigureItOut,94.96,Chase-ing Young Children,121.72,0,1,9,2023,Regular Season
My digg hurts,127.78,Riley Reid Option,99.92,1,0,9,2023,Regular Season
PEDeAndre Hopkins,103,S(kittle),92.8,1,0,9,2023,Regular Season
Pocket Aces,144.46,Cup of Joe,96.26,1,0,9,2023,Regular Season
Riley Reid Option,99.92,My digg hurts,127.78,0,1,9,2023,Regular Season
S(kittle),92.8,PEDeAndre Hopkins,103,0,1,9,2023,Regular Season
Team Chieffo,105.7,Jah is gay,134.08,0,1,9,2023,Regular Season
Chase-ing Young Children,118.28,Cup of Joe,130.02,0,1,10,2023,Regular Season
Cup of Joe,130.02,Chase-ing Young Children,118.28,1,0,10,2023,Regular Season
Jah is gay,118.32,Mr. FigureItOut,85.22,1,0,10,2023,Regular Season
Mr. FigureItOut,85.22,Jah is gay,118.32,0,1,10,2023,Regular Season
My digg hurts,115.36,Pocket Aces,166.76,0,1,10,2023,Regular Season
PEDeAndre Hopkins,59.46,Riley Reid Option,109.78,0,1,10,2023,Regular Season
Pocket Aces,166.76,My digg hurts,115.36,1,0,10,2023,Regular Season
Riley Reid Option,109.78,PEDeAndre Hopkins,59.46,1,0,10,2023,Regular Season
S(kittle),114.38,Team Chieffo,156.14,0,1,10,2023,Regular Season
Team Chieffo,156.14,S(kittle),114.38,1,0,10,2023,Regular Season
Chase-ing Young Children,105.5,Pocket Aces,76.56,1,0,11,2023,Regular Season
Cup of Joe,134.3,Jah is gay,121.96,1,0,11,2023,Regular Season
Jah is gay,121.96,Cup of Joe,134.3,0,1,11,2023,Regular Season
Mr. FigureItOut,82.76,S(kittle),120.02,0,1,11,2023,Regular Season
My digg hurts,129.1,PEDeAndre Hopkins,128.08,1,0,11,2023,Regular Season
PEDeAndre Hopkins,128.08,My digg hurts,129.1,0,1,11,2023,Regular Season
Pocket Aces,76.56,Chase-ing Young Children,105.5,0,1,11,2023,Regular Season
Riley Reid Option,112.4,Team Chieffo,128.54,0,1,11,2023,Regular Season
S(kittle),120.02,Mr. FigureItOut,82.76,1,0,11,2023,Regular Season
Team Chieffo,128.54,Riley Reid Option,112.4,1,0,11,2023,Regular Season
Chase-ing Young Children,135.46,PEDeAndre Hopkins,136.02,0,1,12,2023,Regular Season
Cup of Joe,85.58,Mr. FigureItOut,97.68,0,1,12,2023,Regular Season
Jah is gay,120.78,Pocket Aces,117.94,1,0,12,2023,Regular Season
Mr. FigureItOut,97.68,Cup of Joe,85.58,1,0,12,2023,Regular Season
My digg hurts,143,Team Chieffo,169.96,0,1,12,2023,Regular Season
PEDeAndre Hopkins,136.02,Chase-ing Young Children,135.46,1,0,12,2023,Regular Season
Pocket Aces,117.94,Jah is gay,120.78,0,1,12,2023,Regular Season
Riley Reid Option,102.22,S(kittle),119.96,0,1,12,2023,Regular Season
S(kittle),119.96,Riley Reid Option,102.22,1,0,12,2023,Regular Season
Team Chieffo,169.96,My digg hurts,143,1,0,12,2023,Regular Season
Chase-ing Young Children,134.44,Jah is gay,0,1,0,13,2023,Regular Season
Cup of Joe,83.48,Riley Reid Option,145.9,0,1,13,2023,Regular Season
Jah is gay,0,Chase-ing Young Children,134.44,0,1,13,2023,Regular Season
Mr. FigureItOut,104.34,Pocket Aces,180.36,0,1,13,2023,Regular Season
My digg hurts,104.82,S(kittle),126.56,0,1,13,2023,Regular Season
PEDeAndre Hopkins,132.6,Team Chieffo,127.76,1,0,13,2023,Regular Season
Pocket Aces,180.36,Mr. FigureItOut,104.34,1,0,13,2023,Regular Season
Riley Reid Option,145.9,Cup of Joe,83.48,1,0,13,2023,Regular Season
S(kittle),126.56,My digg hurts,104.82,1,0,13,2023,Regular Season
Team Chieffo,127.76,PEDeAndre Hopkins,132.6,0,1,13,2023,Regular Season
Chase-ing Young Children,133.62,S(kittle),103.72,1,0,14,2023,Regular Season
Cup of Joe,115.04,PEDeAndre Hopkins,143.24,0,1,14,2023,Regular Season
Jah is gay,65.92,Riley Reid Option,78.8,0,1,14,2023,Regular Season
Mr. FigureItOut,109.26,My digg hurts,92.58,1,0,14,2023,Regular Season
My digg hurts,92.58,Mr. FigureItOut,109.26,0,1,14,2023,Regular Season
PEDeAndre Hopkins,143.24,Cup of Joe,115.04,1,0,14,2023,Regular Season
Pocket Aces,147.24,Team Chieffo,121.84,1,0,14,2023,Regular Season
Riley Reid Option,78.8,Jah is gay,65.92,1,0,14,2023,Regular Season
S(kittle),103.72,Chase-ing Young Children,133.62,0,1,14,2023,Regular Season
Team Chieffo,121.84,Pocket Aces,147.24,0,1,14,2023,Regular Season
Cup of Joe,120.62,Team Chieffo,126.94,0,1,15,2023,Quarterfinals
My digg hurts,94.22,S(kittle),169.68,0,1,15,2023,Quarterfinals
S(kittle),169.68,My digg hurts,94.22,1,0,15,2023,Quarterfinals
Team Chieffo,126.94,Cup of Joe,120.62,1,0,15,2023,Quarterfinals
Chase-ing Young Children,114.28,S(kittle),105.1,1,0,16,2023,Semifinals
PEDeAndre Hopkins,140,Team Chieffo,105.2,1,0,16,2023,Semifinals
S(kittle),105.1,Chase-ing Young Children,114.28,0,1,16,2023,Semifinals
Team Chieffo,105.2,PEDeAndre Hopkins,140,0,1,16,2023,Semifinals
Chase-ing Young Children,112.16,PEDeAndre Hopkins,128.4,0,1,17,2023,Finals
PEDeAndre Hopkins,128.4,Chase-ing Young Children,112.16,1,0,17,2023,Finals
S(kittle),116.7,Team Chieffo,140.62,0,1,17,2023,Third Place
Team Chieffo,140.62,S(kittle),116.7,1,0,17,2023,Third Place
'fore i repeat it ima forget it,145.86,Amon a new Level,92.62,1,0,1,2024,Regular Season
Amon a new Level,92.62,'fore i repeat it ima forget it,145.86,0,1,1,2024,Regular Season
Big Johnson,129.92,willimantic crack addicts,131.26,0,1,1,2024,Regular Season
Dyls belly,121.28,Jah is gay,89.78,1,0,1,2024,Regular Season
Jah is gay,89.78,Dyls belly,121.28,0,1,1,2024,Regular Season
Kode,63.72,Njigbas Be Wildin,167.94,0,1,1,2024,Regular Season
Mixon it (K)upp,121.66,Under the InfluWentz,98.06,1,0,1,2024,Regular Season
Njigbas Be Wildin,167.94,Kode,63.72,1,0,1,2024,Regular Season
Reigning,178.38,Team Chieffo,98.3,1,0,1,2024,Regular Season
Team Chieffo,98.3,Reigning,178.38,0,1,1,2024,Regular Season
Under the InfluWentz,98.06,Mixon it (K)upp,121.66,0,1,1,2024,Regular Season
willimantic crack addicts,131.26,Big Johnson,129.92,1,0,1,2024,Regular Season
'fore i repeat it ima forget it,135.42,Jah is gay,147.64,0,1,2,2024,Regular Season
Amon a new Level,148.02,Kode,114.76,1,0,2,2024,Regular Season
Big Johnson,89.98,Team Chieffo,115.08,0,1,2,2024,Regular Season
Dyls belly,128.66,Njigbas Be Wildin,76.54,1,0,2,2024,Regular Season
Jah is gay,147.64,'fore i repeat it ima forget it,135.42,1,0,2,2024,Regular Season
Kode,114.76,Amon a new Level,148.02,0,1,2,2024,Regular Season
Mixon it (K)upp,123.94,willimantic crack addicts,145.72,0,1,2,2024,Regular Season
Njigbas Be Wildin,76.54,Dyls belly,128.66,0,1,2,2024,Regular Season
Reigning,84.16,Under the InfluWentz,91.1,0,1,2,2024,Regular Season
Team Chieffo,115.08,Big Johnson,89.98,1,0,2,2024,Regular Season
Under the InfluWentz,91.1,Reigning,84.16,1,0,2,2024,Regular Season
willimantic crack addicts,145.72,Mixon it (K)upp,123.94,1,0,2,2024,Regular Season
'fore i repeat it ima forget it,138.36,Kode,131.22,1,0,3,2024,Regular Season
Amon a new Level,108.34,Dyls belly,107.48,1,0,3,2024,Regular Season
Big Johnson,109.98,Under the InfluWentz,82,1,0,3,2024,Regular Season
Dyls belly,107.48,Amon a new Level,108.34,0,1,3,2024,Regular Season
Jah is gay,112.08,Njigbas Be Wildin,104.08,1,0,3,2024,Regular Season
Kode,131.22,'fore i repeat it ima forget it,138.36,0,1,3,2024,Regular Season
Mixon it (K)upp,128.06,Reigning,100.02,1,0,3,2024,Regular Season
Njigbas Be Wildin,104.08,Jah is gay,112.08,0,1,3,2024,Regular Season
Reigning,100.02,Mixon it (K)upp,128.06,0,1,3,2024,Regular Season
Team Chieffo,123.72,willimantic crack addicts,97.28,1,0,3,2024,Regular Season
Under the InfluWentz,82,Big Johnson,109.98,0,1,3,2024,Regular Season
willimantic crack addicts,97.28,Team Chieffo,123.72,0,1,3,2024,Regular Season
'fore i repeat it ima forget it,97.34,Dyls belly,85.94,1,0,4,2024,Regular Season
Amon a new Level,132.3,Njigbas Be Wildin,92.54,1,0,4,2024,Regular Season
Big Johnson,110.44,Reigning,140.6,0,1,4,2024,Regular Season
Dyls belly,85.94,'fore i repeat it ima forget it,97.34,0,1,4,2024,Regular Season
Jah is gay,98.08,Kode,112.38,0,1,4,2024,Regular Season
Kode,112.38,Jah is gay,98.08,1,0,4,2024,Regular Season
Mixon it (K)upp,114.02,Team Chieffo,150.5,0,1,4,2024,Regular Season
Njigbas Be Wildin,92.54,Amon a new Level,132.3,0,1,4,2024,Regular Season
Reigning,140.6,Big Johnson,110.44,1,0,4,2024,Regular Season
Team Chieffo,150.5,Mixon it (K)upp,114.02,1,0,4,2024,Regular Season
Under the InfluWentz,96.5,willimantic crack addicts,116.08,0,1,4,2024,Regular Season
willimantic crack addicts,116.08,Under the InfluWentz,96.5,1,0,4,2024,Regular Season
'fore i repeat it ima forget it,120.56,Njigbas Be Wildin,95.94,1,0,5,2024,Regular Season
Amon a new Level,141.66,Jah is gay,91.7,1,0,5,2024,Regular Season
Big Johnson,125.62,Mixon it (K)upp,143.02,0,1,5,2024,Regular Season
Dyls belly,115.18,Kode,110.76,1,0,5,2024,Regular Season
Jah is gay,91.7,Amon a new Level,141.66,0,1,5,2024,Regular Season
Kode,110.76,Dyls belly,115.18,0,1,5,2024,Regular Season
Mixon it (K)upp,143.02,Big Johnson,125.62,1,0,5,2024,Regular Season
Njigbas Be Wildin,95.94,'fore i repeat it ima forget it,120.56,0,1,5,2024,Regular Season
Reigning,95.34,willimantic crack addicts,134.18,0,1,5,2024,Regular Season
Team Chieffo,149.66,Under the InfluWentz,128.04,1,0,5,2024,Regular Season
Under the InfluWentz,128.04,Team Chieffo,149.66,0,1,5,2024,Regular Season
willimantic crack addicts,134.18,Reigning,95.34,1,0,5,2024,Regular Season
'fore i repeat it ima forget it,130.3,willimantic crack addicts,118.42,1,0,6,2024,Regular Season
Amon a new Level,152.86,Big Johnson,115.72,1,0,6,2024,Regular Season
Big Johnson,115.72,Amon a new Level,152.86,0,1,6,2024,Regular Season
Dyls belly,149.72,Under the InfluWentz,140.4,1,0,6,2024,Regular Season
Jah is gay,98.2,Mixon it (K)upp,93.96,1,0,6,2024,Regular Season
Kode,79.84,Team Chieffo,116.58,0,1,6,2024,Regular Season
Mixon it (K)upp,93.96,Jah is gay,98.2,0,1,6,2024,Regular Season
Njigbas Be Wildin,111.42,Reigning,97,1,0,6,2024,Regular Season
Reigning,97,Njigbas Be Wildin,111.42,0,1,6,2024,Regular Season
Team Chieffo,116.58,Kode,79.84,1,0,6,2024,Regular Season
Under the InfluWentz,140.4,Dyls belly,149.72,0,1,6,2024,Regular Season
willimantic crack addicts,118.42,'fore i repeat it ima forget it,130.3,0,1,6,2024,Regular Season
'fore i repeat it ima forget it,156.06,Under the InfluWentz,79.84,1,0,7,2024,Regular Season
Amon a new Level,131.36,Team Chieffo,116.1,1,0,7,2024,Regular Season
Big Johnson,154.64,Jah is gay,96.38,1,0,7,2024,Regular Season
Dyls belly,102.64,Mixon it (K)upp,85.14,1,0,7,2024,Regular Season
Jah is gay,96.38,Big Johnson,154.64,0,1,7,2024,Regular Season
Kode,82.36,Reigning,97.72,0,1,7,2024,Regular Season
Mixon it (K)upp,85.14,Dyls belly,102.64,0,1,7,2024,Regular Season
Njigbas Be Wildin,123.6,willimantic crack addicts,116.04,1,0,7,2024,Regular Season
Reigning,97.72,Kode,82.36,1,0,7,2024,Regular Season
Team Chieffo,116.1,Amon a new Level,131.36,0,1,7,2024,Regular Season
Under the InfluWentz,79.84,'fore i repeat it ima forget it,156.06,0,1,7,2024,Regular Season
willimantic crack addicts,116.04,Njigbas Be Wildin,123.6,0,1,7,2024,Regular Season
'fore i repeat it ima forget it,110,Mixon it (K)upp,93.14,1,0,8,2024,Regular Season
Amon a new Level,132.5,Reigning,90.02,1,0,8,2024,Regular Season
Big Johnson,155.16,Dyls belly,114.04,1,0,8,2024,Regular Season
Dyls belly,114.04,Big Johnson,155.16,0,1,8,2024,Regular Season
Jah is gay,159.18,Team Chieffo,139.8,1,0,8,2024,Regular Season
Kode,118.26,willimantic crack addicts,129.36,0,1,8,2024,Regular Season
Mixon it (K)upp,93.14,'fore i repeat it ima forget it,110,0,1,8,2024,Regular Season
Njigbas Be Wildin,117.46,Under the InfluWentz,103.5,1,0,8,2024,Regular Season
Reigning,90.02,Amon a new Level,132.5,0,1,8,2024,Regular Season
Team Chieffo,139.8,Jah is gay,159.18,0,1,8,2024,Regular Season
Under the InfluWentz,103.5,Njigbas Be Wildin,117.46,0,1,8,2024,Regular Season
willimantic crack addicts,129.36,Kode,118.26,1,0,8,2024,Regular Season
'fore i repeat it ima forget it,133.7,Big Johnson,108.7,1,0,9,2024,Regular Season
Amon a new Level,137.4,willimantic crack addicts,132.14,1,0,9,2024,Regular Season
Big Johnson,108.7,'fore i repeat it ima forget it,133.7,0,1,9,2024,Regular Season
Dyls belly,104.7,Team Chieffo,133,0,1,9,2024,Regular Season
Jah is gay,114.86,Reigning,85.7,1,0,9,2024,Regular Season
Kode,83.92,Under the InfluWentz,117.34,0,1,9,2024,Regular Season
Mixon it (K)upp,123.06,Njigbas Be Wildin,120.02,1,0,9,2024,Regular Season
Njigbas Be Wildin,120.02,Mixon it (K)upp,123.06,0,1,9,2024,Regular Season
Reigning,85.7,Jah is gay,114.86,0,1,9,2024,Regular Season
Team Chieffo,133,Dyls belly,104.7,1,0,9,2024,Regular Season
Under the InfluWentz,117.34,Kode,83.92,1,0,9,2024,Regular Season
willimantic crack addicts,132.14,Amon a new Level,137.4,0,1,9,2024,Regular Season
'fore i repeat it ima forget it,97.64,Team Chieffo,133.14,0,1,10,2024,Regular Season
Amon a new Level,110.68,Under the InfluWentz,95.9,1,0,10,2024,Regular Season
Big Johnson,111.4,Njigbas Be Wildin,92.1,1,0,10,2024,Regular Season
Dyls belly,90.96,Reigning,123,0,1,10,2024,Regular Season
Jah is gay,122.64,willimantic crack addicts,136.72,0,1,10,2024,Regular Season
Kode,114.5,Mixon it (K)upp,113.18,1,0,10,2024,Regular Season
Mixon it (K)upp,113.18,Kode,114.5,0,1,10,2024,Regular Season
Njigbas Be Wildin,92.1,Big Johnson,111.4,0,1,10,2024,Regular Season
Reigning,123,Dyls belly,90.96,1,0,10,2024,Regular Season
Team Chieffo,133.14,'fore i repeat it ima forget it,97.64,1,0,10,2024,Regular Season
Under the InfluWentz,95.9,Amon a new Level,110.68,0,1,10,2024,Regular Season
willimantic crack addicts,136.72,Jah is gay,122.64,1,0,10,2024,Regular Season
'fore i repeat it ima forget it,159.74,Reigning,109.38,1,0,11,2024,Regular Season
Amon a new Level,140.04,Mixon it (K)upp,116.64,1,0,11,2024,Regular Season
Big Johnson,107.38,Kode,116.58,0,1,11,2024,Regular Season
Dyls belly,92.18,willimantic crack addicts,147.64,0,1,11,2024,Regular Season
Jah is gay,89.02,Under the InfluWentz,72.5,1,0,11,2024,Regular Season
Kode,116.58,Big Johnson,107.38,1,0,11,2024,Regular Season
Mixon it (K)upp,116.64,Amon a new Level,140.04,0,1,11,2024,Regular Season
Njigbas Be Wildin,140.36,Team Chieffo,98.04,1,0,11,2024,Regular Season
Reigning,109.38,'fore i repeat it ima forget it,159.74,0,1,11,2024,Regular Season
Team Chieffo,98.04,Njigbas Be Wildin,140.36,0,1,11,2024,Regular Season
Under the InfluWentz,72.5,Jah is gay,89.02,0,1,11,2024,Regular Season
willimantic crack addicts,147.64,Dyls belly,92.18,1,0,11,2024,Regular Season
'fore i repeat it ima forget it,136.4,willimantic crack addicts,73.46,1,0,12,2024,Regular Season
Amon a new Level,126.96,Big Johnson,113.08,1,0,12,2024,Regular Season
Big Johnson,113.08,Amon a new Level,126.96,0,1,12,2024,Regular Season
Dyls belly,137.38,Under the InfluWentz,85.3,1,0,12,2024,Regular Season
Jah is gay,91.2,Mixon it (K)upp,143.32,0,1,12,2024,Regular Season
Kode,124.12,Team Chieffo,90.16,1,0,12,2024,Regular Season
Mixon it (K)upp,143.32,Jah is gay,91.2,1,0,12,2024,Regular Season
Njigbas Be Wildin,126.92,Reigning,118.78,1,0,12,2024,Regular Season
Reigning,118.78,Njigbas Be Wildin,126.92,0,1,12,2024,Regular Season
Team Chieffo,90.16,Kode,124.12,0,1,12,2024,Regular Season
Under the InfluWentz,85.3,Dyls belly,137.38,0,1,12,2024,Regular Season
willimantic crack addicts,73.46,'fore i repeat it ima forget it,136.4,0,1,12,2024,Regular Season
'fore i repeat it ima forget it,142.64,Under the InfluWentz,102.78,1,0,13,2024,Regular Season
Amon a new Level,109.02,Team Chieffo,87.8,1,0,13,2024,Regular Season
Big Johnson,165.18,Jah is gay,127.3,1,0,13,2024,Regular Season
Dyls belly,118.22,Mixon it (K)upp,87.68,1,0,13,2024,Regular Season
Jah is gay,127.3,Big Johnson,165.18,0,1,13,2024,Regular Season
Kode,116.76,Reigning,116.22,1,0,13,2024,Regular Season
Mixon it (K)upp,87.68,Dyls belly,118.22,0,1,13,2024,Regular Season
Njigbas Be Wildin,108.46,willimantic crack addicts,132.36,0,1,13,2024,Regular Season
Reigning,116.22,Kode,116.76,0,1,13,2024,Regular Season
Team Chieffo,87.8,Amon a new Level,109.02,0,1,13,2024,Regular Season
Under the InfluWentz,102.78,'fore i repeat it ima forget it,142.64,0,1,13,2024,Regular Season
willimantic crack addicts,132.36,Njigbas Be Wildin,108.46,1,0,13,2024,Regular Season
'fore i repeat it ima forget it,159.38,Mixon it (K)upp,135.02,1,0,14,2024,Regular Season
Amon a new Level,111.92,Reigning,130.48,0,1,14,2024,Regular Season
Big Johnson,154.12,Dyls belly,143.52,1,0,14,2024,Regular Season
Dyls belly,143.52,Big Johnson,154.12,0,1,14,2024,Regular Season
Jah is gay,118.16,Team Chieffo,130,0,1,14,2024,Regular Season
Kode,118.36,willimantic crack addicts,129.66,0,1,14,2024,Regular Season
Mixon it (K)upp,135.02,'fore i repeat it ima forget it,159.38,0,1,14,2024,Regular Season
Njigbas Be Wildin,109.5,Under the InfluWentz,104.82,1,0,14,2024,Regular Season
Reigning,130.48,Amon a new Level,111.92,1,0,14,2024,Regular Season
Team Chieffo,130,Jah is gay,118.16,1,0,14,2024,Regular Season
Under the InfluWentz,104.82,Njigbas Be Wildin,109.5,0,1,14,2024,Regular Season
willimantic crack addicts,129.66,Kode,118.36,1,0,14,2024,Regular Season
Amon a new Level,148.2,Big Johnson,148.9,0,1,15,2024,Quarterfinals
Big Johnson,148.9,Amon a new Level,148.2,1,0,15,2024,Quarterfinals
Dyls belly,116.16,Team Chieffo,100.82,1,0,15,2024,Quarterfinals
Njigbas Be Wildin,139.58,willimantic crack addicts,127.34,1,0,15,2024,Quarterfinals
Team Chieffo,100.82,Dyls belly,116.16,0,1,15,2024,Quarterfinals
willimantic crack addicts,127.34,Njigbas Be Wildin,139.58,0,1,15,2024,Quarterfinals
'fore i repeat it ima forget it,169.42,Dyls belly,141.74,1,0,16,2024,Semifinals
Big Johnson,144.28,Njigbas Be Wildin,142.12,1,0,16,2024,Semifinals
Dyls belly,141.74,'fore i repeat it ima forget it,169.42,0,1,16,2024,Semifinals
Njigbas Be Wildin,142.12,Big Johnson,144.28,0,1,16,2024,Semifinals
'fore i repeat it ima forget it,97.88,Big Johnson,144.42,0,1,17,2024,Finals
Big Johnson,144.42,'fore i repeat it ima forget it,97.88,1,0,17,2024,Finals
Dyls belly,143.58,Njigbas Be Wildin,122.18,1,0,17,2024,Third Place
Njigbas Be Wildin,122.18,Dyls belly,143.58,0,1,17,2024,Third Place
Beef One My Balls,135.98,Bower Rangers,111.6,1,0,1,2025,Regular Season
Bower Rangers,111.6,Beef One My Balls,135.98,0,1,1,2025,Regular Season
Cook my Balls,104.92,S(hamas),94.86,1,0,1,2025,Regular Season
High Speed Chase,74.48,lets get this money,121.78,0,1,1,2025,Regular Season
Kupp my balls,111.62,willimantic crack addicts,89.62,1,0,1,2025,Regular Season
Nix my Balls,126.44,Njigbas in Paris,130.76,0,1,1,2025,Regular Season
Njigbas in Paris,130.76,Nix my Balls,126.44,1,0,1,2025,Regular Season
S(hamas),94.86,Cook my Balls,104.92,0,1,1,2025,Regular Season
Saquon Bustley,116.82,Team Chieffo,82.92,1,0,1,2025,Regular Season
Team Chieffo,82.92,Saquon Bustley,116.82,0,1,1,2025,Regular Season
lets get this money,121.78,High Speed Chase,74.48,1,0,1,2025,Regular Season
willimantic crack addicts,89.62,Kupp my balls,111.62,0,1,1,2025,Regular Season
Beef One My Balls,108.1,High Speed Chase,116.88,0,1,2,2025,Regular Season
Bower Rangers,108.48,Njigbas in Paris,111.9,0,1,2,2025,Regular Season
Cook my Balls,115.38,willimantic crack addicts,150.48,0,1,2,2025,Regular Season
High Speed Chase,116.88,Beef One My Balls,108.1,1,0,2,2025,Regular Season
Kupp my balls,97.8,Team Chieffo,94.54,1,0,2,2025,Regular Season
Nix my Balls,133.44,lets get this money,135.74,0,1,2,2025,Regular Season
Njigbas in Paris,111.9,Bower Rangers,108.48,1,0,2,2025,Regular Season
S(hamas),110.82,Saquon Bustley,113,0,1,2,2025,Regular Season
Saquon Bustley,113,S(hamas),110.82,1,0,2,2025,Regular Season
Team Chieffo,94.54,Kupp my balls,97.8,0,1,2,2025,Regular Season
lets get this money,135.74,Nix my Balls,133.44,1,0,2,2025,Regular Season
willimantic crack addicts,150.48,Cook my Balls,115.38,1,0,2,2025,Regular Season
Beef One My Balls,144.52,lets get this money,118.74,1,0,3,2025,Regular Season
Bower Rangers,75.58,Nix my Balls,121.92,0,1,3,2025,Regular Season
Cook my Balls,109.7,Saquon Bustley,125.42,0,1,3,2025,Regular Season
High Speed Chase,134.32,Njigbas in Paris,126.62,1,0,3,2025,Regular Season
Kupp my balls,100.56,S(hamas),116.22,0,1,3,2025,Regular Season
Nix my Balls,121.92,Bower Rangers,75.58,1,0,3,2025,Regular Season
Njigbas in Paris,126.62,High Speed Chase,134.32,0,1,3,2025,Regular Season
S(hamas),116.22,Kupp my balls,100.56,1,0,3,2025,Regular Season
Saquon Bustley,125.42,Cook my Balls,109.7,1,0,3,2025,Regular Season
Team Chieffo,107.32,willimantic crack addicts,92.86,1,0,3,2025,Regular Season
lets get this money,118.74,Beef One My Balls,144.52,0,1,3,2025,Regular Season
willimantic crack addicts,92.86,Team Chieffo,107.32,0,1,3,2025,Regular Season
Beef One My Balls,144.86,Nix my Balls,141.44,1,0,4,2025,Regular Season
Bower Rangers,129.34,High Speed Chase,136.58,0,1,4,2025,Regular Season
Cook my Balls,137.92,Team Chieffo,136.78,1,0,4,2025,Regular Season
High Speed Chase,136.58,Bower Rangers,129.34,1,0,4,2025,Regular Season
Kupp my balls,120.4,Saquon Bustley,114.42,1,0,4,2025,Regular Season
Nix my Balls,141.44,Beef One My Balls,144.86,0,1,4,2025,Regular Season
Njigbas in Paris,107.08,lets get this money,108,0,1,4,2025,Regular Season
S(hamas),87.86,willimantic crack addicts,148.9,0,1,4,2025,Regular Season
Saquon Bustley,114.42,Kupp my balls,120.4,0,1,4,2025,Regular Season
Team Chieffo,136.78,Cook my Balls,137.92,0,1,4,2025,Regular Season
lets get this money,108,Njigbas in Paris,107.08,1,0,4,2025,Regular Season
willimantic crack addicts,148.9,S(hamas),87.86,1,0,4,2025,Regular Season
Beef One My Balls,174.18,Njigbas in Paris,134.12,1,0,5,2025,Regular Season
Bower Rangers,134.82,lets get this money,145.1,0,1,5,2025,Regular Season
Cook my Balls,100.44,Kupp my balls,101.9,0,1,5,2025,Regular Season
High Speed Chase,121.18,Nix my Balls,152.96,0,1,5,2025,Regular Season
Kupp my balls,101.9,Cook my Balls,100.44,1,0,5,2025,Regular Season
Nix my Balls,152.96,High Speed Chase,121.18,1,0,5,2025,Regular Season
Njigbas in Paris,134.12,Beef One My Balls,174.18,0,1,5,2025,Regular Season
S(hamas),49.82,Team Chieffo,140.38,0,1,5,2025,Regular Season
Saquon Bustley,95.54,willimantic crack addicts,105.54,0,1,5,2025,Regular Season
Team Chieffo,140.38,S(hamas),49.82,1,0,5,2025,Regular Season
lets get this money,145.1,Bower Rangers,134.82,1,0,5,2025,Regular Season
